Image Link,Title,Price,Subtitle,Text Preview,View Count
https://krisha-photos.kcdn.online/webp/9f/9fcbb16f-89e5-4d8b-9b93-024cd0c846c0/1-400x300.jpg,1-комнатная квартира · 36 м² · помесячно,200 000 〒,"Бостандыкский р-н, Тимирязева — Гагарина","кирпичный дом, 1979 г.п., состояние: свежий ремонт, санузел совмещенный, интернет ADSL, меблирована полностью, Развитая инфраструктура",
https://krisha-photos.kcdn.online/webp/c5/c5172947-8cee-4c5d-9bda-3d13caa4d74f/1-400x300.jpg,2-комнатная квартира · 60 м² · 3/5 этаж · помесячно,300 000 〒,"Медеуский р-н, Барибаева — Гоголя","меблирована полностью, Теплая, светлая квартира, большой, зеленый двор. Элитный район, развитая инфраструктура, все рядом: кафе, банки, магазины, школы, высшие учебные заведения, Парк им. Горького и Парк им. 28 Гвардейцев Панфиловцев",
https://krisha-photos.kcdn.online/webp/31/313a63e1-bd04-445c-b70f-b90472eb7325/1-400x300.jpg,3-комнатная квартира · 70 м² · 4/10 этаж · помесячно,330 000 〒,"Алмалинский р-н, Курмангазы 97","жил. комплекс Центральный, меблирована полностью, Просторная 2-комнатная квартира с студийным холлом в жилом комплексе ""Центральный"" в Алматы – это отличное предложение для тех, кто ценит комфорт и современный стиль жизни. Квартира с оригинальной планировкой включает уютную гостиную, котор…",
https://krisha-photos.kcdn.online/webp/d4/d4c612f5-d49e-4ae9-bbd8-626759ec006e/35-400x300.jpg,3-комнатная квартира · 118 м² · 3/5 этаж · помесячно,750 000 〒,"Медеуский р-н, Кабанбай батыра 66 — Зенкова","Уютная и светлая квартира площадью 118 м² расположена в Совминовском кирпичном доме 1987 года постройки. Преимущество дома – всего две квартиры на этаже, что обеспечивает тишину и приватность. Планировка продумана до мелочей: •Три изолированные комнаты, идеальны для семьи или комфортного проживан…",
https://krisha-photos.kcdn.online/webp/f2/f21a1060-e14c-4c9c-9903-76cfb0c4b0b3/32-400x300.jpg,1-комнатная квартира · 24 м² · 2/3 этаж · помесячно,150 000 〒,"Наурызбайский р-н, мкр Калкаман-2, Абишева 28 28 — Калкаман 2 ул Абишева 28","2021 г.п., потолки 3м., 1 комнатную хорошую теплую квартиру, 2 человека без детей в 3х этажном новом доме как в жк, коммуналки нет, депозита нет, интернет бесплатно, от ташкентской 50 м",
https://krisha-photos.kcdn.online/webp/c8/c8cdb36d-a909-4acb-8ce0-47b5e2ecd9e4/8-400x300.jpg,2-комнатная квартира · 50 м² · помесячно,180 000 〒,"Наурызбайский р-н, мкр Калкаман-2, Калкаман-2 ул абишева 28","2021 г.п., Хорошая 2х комнатная квартира с комуналкой вместе не более 3х человек без детей курить нельзя чистоплотным и не шумным задаётся без депозита",
https://krisha-photos.kcdn.online/webp/0f/0f0e758a-1b21-48c7-b30b-a824d8bb16ce/1-400x300.jpg,2-комнатная квартира · 55 м² · 5/5 этаж · помесячно,250 000 〒,"Медеуский р-н, Халиуллина 196/1","жил. комплекс Medeu City, меблирована полностью, Сдается 2-комнатная квартира в жилом комплексе “Medeu City” Сдается уютная и светлая 2-комнатная квартира в современном жилом комплексе. Квартира полностью меблирована и оснащена всей необходимой бытовой техникой — заезжай и живи! Площадь: 55 кв…",
https://krisha-photos.kcdn.online/webp/84/84c474c1-0e3f-4d8f-91f8-495cf4a4c9d0/6-400x300.jpg,1-комнатная квартира · 30 м² · 2/2 этаж · помесячно,90 000 〒,"Наурызбайский р-н, мкр Каргалы, Кенесары Хана 8","меблирована полностью, Квартира на втором этаже, мебель, стиральная машина, душ, туалет на улице рядом приусадебный участок можно посадить огород. Квартплата за свет и воду оплачивается отдельно",
https://krisha-photos.kcdn.online/webp/f9/f9bcbceb-7950-41a6-a84f-af8a810cafa9/17-400x300.jpg,1-комнатная квартира · 43 м² · 9/15 этаж · помесячно,300 000 〒,"Алмалинский р-н, Райымбека 210 — Райымбека Ауэзова","жил. комплекс Auezov City, меблирована полностью, Сдаётся квартира комфорт класса. Ранее не была в эксплуатации, не сдавалась, сами не жили. Квартира в новом жк, после ремонта, все новое от отделки, до стен, техники и мебели. Ковры имеются в спальне 2 шт и в кухне (на фото нет). Имеются рядом са…",
https://krisha-photos.kcdn.online/webp/45/459e07bc-13ce-4630-a432-59c170b06c14/13-400x300.jpg,2-комнатная квартира · 54 м² · 5/9 этаж · помесячно,350 000 〒,"Медеуский р-н, Достык 48 — Шевченко","меблирована полностью, Сдается двухкомнатная квартира в кирпичном девятиэтажном доме на 5 этаже. По адресу Достык угол Шевченко (Золотой квадрат). Очень уютная и чистая квартира. За коммунальные услуги отдельная оплата. Депозит 150 000тг",
https://krisha-photos.kcdn.online/webp/55/559103c3-c4f0-44bc-9197-0c92bff690d4/1-400x300.jpg,3-комнатная квартира · 105 м² · 2/3 этаж · помесячно,1 100 000 〒,"Медеуский р-н, Машхур Жусупа 30","жил. комплекс Jasyl Residence, меблирована полностью, Сдается шикарная квартира после ремонта, дорогой ремонт, дорогая мебель, дорогая техника, все необходимое есть, рядом ЖК Ак бота, клиника Mediterra, Есентай сити!",
https://krisha-photos.kcdn.online/webp/2d/2dab8696-a6bf-4282-b1be-bafc9fae8e6e/1-400x300.jpg,2-комнатная квартира · 44 м² · 1/4 этаж · помесячно,250 000 〒,"Ауэзовский р-н, мкр №9 26 — Саина Шаляпина","меблирована частично, Дом во втором ряду от дороги, остановка рядом, Магнум через дорогу, окна выходят на территорию гимназии, тихо. Хорошие соседи, чистый подъезд, чистый подвал",
https://krisha-photos.kcdn.online/webp/5e/5e034955-04a3-40f7-bf0a-c55f465d29f9/1-400x300.jpg,2-комнатная квартира · 70 м² · 7/18 этаж · помесячно,350 000 〒,"Бостандыкский р-н, Солодовникова — Розыбакиева-Сатпаева","жил. комплекс КУАТ на Сатпаева - Гагарина, меблирована полностью, Сдаёться 2комнатная квартира 350.000тнг+кварплата, есть крытый паркинг (+20000тнг). Обязательный залог 50% от стоимости аренды. Сдаёться на длительный срок от 10 месяцев. семье или одному человеку",
https://krisha-photos.kcdn.online/webp/9a/9afbf41d-7567-4902-925d-086a8818116f/1-400x300.jpg,1-комнатная квартира · 43 м² · 11/13 этаж · помесячно,230 000 〒,"Ауэзовский р-н, Утеген батыра 17б — Утеген батыр - Кабдолова","жил. комплекс UTEGEN, меблирована полностью, Сдается теплая и чистая квартира в хорошем районе, на пересечении улиц Утеген батыра - Кабдолова. 43 кв. м., кухня 12 кв. м. Уютное жилье с панорамным видом из окна. В квартире есть вся необходимая мебель и бытовая техника. В доме два лифта, двухуровне…",
https://krisha-photos.kcdn.online/webp/42/424b3be7-38e3-4e91-83fe-4498817ef25f/1-400x300.jpg,3-комнатная квартира · 110 м² · 13/14 этаж · помесячно,500 000 〒,"Ауэзовский р-н, Навои 66","жил. комплекс Тау Самал на Навои, меблирована полностью, Впервые сдаётся. Полностью с мебелью и техникой. Тихий двор, детская площадка, рядом речка Большая Алматинка",
https://krisha-photos.kcdn.online/webp/10/10fa107b-6af5-4c23-9672-bdb4bb5ea35e/14-400x300.jpg,2-комнатная квартира · 50 м² · 6/17 этаж · помесячно,399 000 〒,"Алмалинский р-н, Толе би — Ауэзова","жил. комплекс ASSEM PLAZA, меблирована полностью, ♦️ СДАЕТСЯ на длительный срок уютная, стильная 2-х комнатная квартира. 🔷 Квартира оснащена всей необходимой мебелью и техникой, для комфортной жизни. 🛁Подогрев в ванной и в коридоре. 🪟 Панорамный вид. ⚽️Детская площадка 🥊 Охрана 📱Вся инфраструктур…",
https://krisha-photos.kcdn.online/webp/b7/b73fe067-6f71-4a8a-b2b3-dcfe17277dc7/1-400x300.jpg,1-комнатная квартира · 40 м² · 3/4 этаж · помесячно,230 000 〒,"Алмалинский р-н, МАУЛЕНОВА 32","меблирована полностью, МОЖНО В СУБАРЕНДУ НАУРУЗБАЙ БОТЫРА-ЖИБЕК ЖОЛЫ-АДРЕС",
https://krisha-photos.kcdn.online/webp/33/33e56c68-a324-4d1f-9bb1-3e0d1e606958/14-400x300.jpg,1-комнатная квартира · 45 м² · 8/9 этаж · помесячно,270 000 〒,"Алмалинский р-н, Кабанбай батыра 136 — Сейфулина","кирпичный дом, 1989 г.п., состояние: свежий ремонт, жил. площадь 20 м², кухня 12 м², санузел раздельный, телефон: отдельный, интернет ADSL, меблирована полностью, МОЖНО В СУБАРЕНДУ. БЕЗ ДЕПОЗИТА",
https://krisha-photos.kcdn.online/webp/82/828554db-a557-40f4-ba0c-24701ce94c9e/30-400x300.jpg,1-комнатная квартира · 18 м² · 1/2 этаж · помесячно,90 000 〒,"Медеуский р-н, Куратова — Ашимова","меблирована частично, Сдаётся отдельная комната в хорошем состоянии работающим, , не курящим не пьющим людям. на фото комната почти пустая, но мы купим диван и чайный столик. Желательно две девушки или семейная пара без животных с детьми старше 10лет. СТУДЕНТЫ И БЕЗ РАБотНЫЕ, С МАЛЕНЬКИМИ ДЕ…",
https://krisha-photos.kcdn.online/webp/14/141564aa-474d-4b40-9d36-8a8df54fa747/21-400x300.jpg,1-комнатная квартира · 44 м² · 1/9 этаж · помесячно,180 000 〒,"Наурызбайский р-н, мкр Шугыла, Микрорайон «Шугыла»","жил. комплекс Шугыла, 2018 г.п., состояние: не новый, но аккуратный ремонт, санузел совмещенный, телефон: нет, меблирована полностью, 1-2 людям или семейной паре 180 000, квартплата отдельно + 50.000 возвратный депозит (если ничего не сломано)",
https://krisha-photos.kcdn.online/webp/54/54a7de9c-a333-4302-a181-68155794c931/36-400x300.jpg,2-комнатная квартира · 58 м² · 9/16 этаж · помесячно,350 000 〒,"Бостандыкский р-н, Егизбаева 7г — Сатпаева","жил. комплекс ALA Park, меблирована полностью, Сдается новая квартира в жк города Алматы. Совершенно новый ремонт, высококачественная техника Bosch, Samsung, Smeg. Квартира очень просторная и светлая, сдается только для порядочных. Инфраструктура очень развита, в шаговой доступности есть к…",
https://krisha-photos.kcdn.online/webp/a1/a1e96e20-c753-49bd-8532-4a6e7c5c79a8/1-400x300.jpg,2-комнатная квартира · 60 м² · 4/13 этаж · помесячно,350 000 〒,"Бостандыкский р-н, Ходжанова 77 — Аль-Фараби","жил. комплекс Алтын Орда, меблирована полностью, Отличная квартира. Удобное месторасположение, охраняемая территория. В квартире есть все удобства. Сдаётся с 18 апреля",
https://krisha-photos.kcdn.online/webp/05/05c88fe1-5e01-473c-86ac-dd09b5563457/1-400x300.jpg,2-комнатная квартира · 52.1 м² · 5/9 этаж · помесячно,260 000 〒,"Медеуский р-н, мкр Думан-2, Мкрн Думан-2","жил. комплекс Green City, меблирована полностью, Новая квартира, первый раз сдается. Депозит 100 000тг обязательно! Просьба не звонить, если имеются маленькие дети",
https://krisha-photos.kcdn.online/webp/2d/2d0dad29-62f0-4344-ae1a-e098842e7104/10-400x300.jpg,2-комнатная квартира · 52 м² · 5/5 этаж · помесячно,270 000 〒,"Алмалинский р-н, Ураза Исаева 92","меблирована полностью, Квартира расположена в тихом месте на не проездной улице. развитая инфраструктура. в шаговой доступности находятся школы, супермаркет, продуктовый базар, банки, поликлиника. очень удобная транспортная развязка",
